Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,BIOMASS,3044
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,CCGT,16799
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,COAL,0
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,INTELEC,-302
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,INTEW,-26
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,INTFR,-1014
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,INTGRNL,-344
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,INTIFA2,-384
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,INTIRL,-82
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,INTNED,-384
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,INTNEM,-240
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,INTNSL,1108
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,INTVKL,-162
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,NPSHYD,599
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,NUCLEAR,4271
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,OCGT,0
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,OIL,0
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,OTHER,330
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,PS,-346
FUELHH,2025-02-06T05:30:00Z,2025-02-06T05:00:00Z,2025-02-06,11,WIND,4289
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,BIOMASS,3037
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,CCGT,15720
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,COAL,0
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,INTELEC,-78
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,INTEW,-154
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,INTFR,-516
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,INTGRNL,-478
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,INTIFA2,-52
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,INTIRL,-228
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,INTNED,-104
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,INTNEM,-264
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,INTNSL,1372
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,INTVKL,576
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,NPSHYD,479
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,NUCLEAR,4265
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,OCGT,0
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,OIL,0
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,OTHER,278
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,PS,-1448
FUELHH,2025-02-06T05:00:00Z,2025-02-06T04:30:00Z,2025-02-06,10,WIND,4435
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,BIOMASS,3026
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,CCGT,15629
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,COAL,0
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,INTELEC,-64
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,INTEW,-170
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,INTFR,-396
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,INTGRNL,-454
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,INTIFA2,-30
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,INTIRL,-288
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,INTNED,-104
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,INTNEM,-260
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,INTNSL,1398
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,INTVKL,610
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,NPSHYD,462
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,NUCLEAR,4249
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,OCGT,0
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,OIL,0
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,OTHER,268
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,PS,-1530
FUELHH,2025-02-06T04:30:00Z,2025-02-06T04:00:00Z,2025-02-06,9,WIND,4433
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,BIOMASS,3031
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,CCGT,14795
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,COAL,0
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,INTELEC,-2
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,INTEW,-314
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,INTFR,790
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,INTGRNL,-514
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,INTIFA2,138
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,INTIRL,-312
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,INTNED,-104
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,INTNEM,-32
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,INTNSL,1398
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,INTVKL,650
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,NPSHYD,469
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,NUCLEAR,4239
